"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2021 Week 46","Green line","Number","310783"
"Passenger Journeys","2021 Week 47","Red line","Number","309178"
"Passenger Journeys","2021 Week 47","Green line","Number","304214"
"Passenger Journeys","2021 Week 48","Red line","Number","300053"
"Passenger Journeys","2021 Week 48","Green line","Number","297205"
"Passenger Journeys","2021 Week 49","Red line","Number","281430"
"Passenger Journeys","2021 Week 49","Green line","Number","268744"
"Passenger Journeys","2021 Week 50","Red line","Number","327777"
"Passenger Journeys","2021 Week 50","Green line","Number","321796"
"Passenger Journeys","2021 Week 51","Red line","Number","202322"
"Passenger Journeys","2021 Week 51","Green line","Number","201673"
"Passenger Journeys","2021 Week 52","Red line","Number","148925"
"Passenger Journeys","2021 Week 52","Green line","Number","129279"
"Passenger Journeys","2021 Week 53","Red line","Number",""
"Passenger Journeys","2021 Week 53","Green line","Number",""
"Passenger Journeys","2022 Week 01","Red line","Number","184047"
"Passenger Journeys","2022 Week 01","Green line","Number","161546"
"Passenger Journeys","2022 Week 02","Red line","Number","225426"
"Passenger Journeys","2022 Week 02","Green line","Number","208488"
"Passenger Journeys","2022 Week 03","Red line","Number","241094"
"Passenger Journeys","2022 Week 03","Green line","Number","221737"
"Passenger Journeys","2022 Week 04","Red line","Number","274293"
"Passenger Journeys","2022 Week 04","Green line","Number","263636"
"Passenger Journeys","2022 Week 05","Red line","Number","293209"
"Passenger Journeys","2022 Week 05","Green line","Number","278664"
"Passenger Journeys","2022 Week 06","Red line","Number","298548"
"Passenger Journeys","2022 Week 06","Green line","Number","288350"
"Passenger Journeys","2022 Week 07","Red line","Number","295635"
"Passenger Journeys","2022 Week 07","Green line","Number","284200"
"Passenger Journeys","2022 Week 08","Red line","Number","302427"
"Passenger Journeys","2022 Week 08","Green line","Number","274866"
"Passenger Journeys","2022 Week 09","Red line","Number","319517"
"Passenger Journeys","2022 Week 09","Green line","Number","287557"
"Passenger Journeys","2022 Week 10","Red line","Number","316221"
"Passenger Journeys","2022 Week 10","Green line","Number","274731"
"Passenger Journeys","2022 Week 11","Red line","Number","314256"
"Passenger Journeys","2022 Week 11","Green line","Number","262354"
"Passenger Journeys","2022 Week 12","Red line","Number","310281"
"Passenger Journeys","2022 Week 12","Green line","Number","293111"
"Passenger Journeys","2022 Week 13","Red line","Number","337105"
"Passenger Journeys","2022 Week 13","Green line","Number","295716"
"Passenger Journeys","2022 Week 14","Red line","Number","333218"
"Passenger Journeys","2022 Week 14","Green line","Number","306988"
"Passenger Journeys","2022 Week 15","Red line","Number","345061"
"Passenger Journeys","2022 Week 15","Green line","Number","273971"
"Passenger Journeys","2022 Week 16","Red line","Number","340040"
"Passenger Journeys","2022 Week 16","Green line","Number","277480"
"Passenger Journeys","2022 Week 17","Red line","Number","326313"
"Passenger Journeys","2022 Week 17","Green line","Number","316675"
"Passenger Journeys","2022 Week 18","Red line","Number","336415"
"Passenger Journeys","2022 Week 18","Green line","Number","314112"
"Passenger Journeys","2022 Week 19","Red line","Number","367620"
"Passenger Journeys","2022 Week 19","Green line","Number","334083"
"Passenger Journeys","2022 Week 20","Red line","Number","364591"
"Passenger Journeys","2022 Week 20","Green line","Number","337459"
"Passenger Journeys","2022 Week 21","Red line","Number","400252"
"Passenger Journeys","2022 Week 21","Green line","Number","336203"
"Passenger Journeys","2022 Week 22","Red line","Number","414633"
"Passenger Journeys","2022 Week 22","Green line","Number","334333"
"Passenger Journeys","2022 Week 23","Red line","Number","351030"
"Passenger Journeys","2022 Week 23","Green line","Number","303546"
"Passenger Journeys","2022 Week 24","Red line","Number","403216"
"Passenger Journeys","2022 Week 24","Green line","Number","343542"
"Passenger Journeys","2022 Week 25","Red line","Number","425115"
"Passenger Journeys","2022 Week 25","Green line","Number","343832"
"Passenger Journeys","2022 Week 26","Red line","Number","401680"
"Passenger Journeys","2022 Week 26","Green line","Number","378283"
"Passenger Journeys","2022 Week 27","Red line","Number","402776"
"Passenger Journeys","2022 Week 27","Green line","Number","358745"
"Passenger Journeys","2022 Week 28","Red line","Number","384792"
"Passenger Journeys","2022 Week 28","Green line","Number","354813"
"Passenger Journeys","2022 Week 29","Red line","Number","386315"
"Passenger Journeys","2022 Week 29","Green line","Number","353269"
"Passenger Journeys","2022 Week 30","Red line","Number","381066"
"Passenger Journeys","2022 Week 30","Green line","Number","342392"
"Passenger Journeys","2022 Week 31","Red line","Number","370788"
"Passenger Journeys","2022 Week 31","Green line","Number","318620"
"Passenger Journeys","2022 Week 32","Red line","Number","385414"
"Passenger Journeys","2022 Week 32","Green line","Number","331511"
"Passenger Journeys","2022 Week 33","Red line","Number","394475"
"Passenger Journeys","2022 Week 33","Green line","Number","348259"
"Passenger Journeys","2022 Week 34","Red line","Number","407670"
"Passenger Journeys","2022 Week 34","Green line","Number","370436"
"Passenger Journeys","2022 Week 35","Red line","Number","394870"
"Passenger Journeys","2022 Week 35","Green line","Number","354471"
"Passenger Journeys","2022 Week 36","Red line","Number","441116"
"Passenger Journeys","2022 Week 36","Green line","Number","397912"
"Passenger Journeys","2022 Week 37","Red line","Number","464639"
"Passenger Journeys","2022 Week 37","Green line","Number","426215"
"Passenger Journeys","2022 Week 38","Red line","Number","468498"
"Passenger Journeys","2022 Week 38","Green line","Number","446831"
"Passenger Journeys","2022 Week 39","Red line","Number","495114"
"Passenger Journeys","2022 Week 39","Green line","Number","471656"
"Passenger Journeys","2022 Week 40","Red line","Number","499121"
"Passenger Journeys","2022 Week 40","Green line","Number","477762"
"Passenger Journeys","2022 Week 41","Red line","Number","490773"
"Passenger Journeys","2022 Week 41","Green line","Number","482540"
"Passenger Journeys","2022 Week 42","Red line","Number","507315"
"Passenger Journeys","2022 Week 42","Green line","Number","481150"
"Passenger Journeys","2022 Week 43","Red line","Number","527175"
"Passenger Journeys","2022 Week 43","Green line","Number","496932"
"Passenger Journeys","2022 Week 44","Red line","Number","472903"
"Passenger Journeys","2022 Week 44","Green line","Number","419627"
"Passenger Journeys","2022 Week 45","Red line","Number","530589"
"Passenger Journeys","2022 Week 45","Green line","Number","496715"
"Passenger Journeys","2022 Week 46","Red line","Number","535652"
"Passenger Journeys","2022 Week 46","Green line","Number","500427"
"Passenger Journeys","2022 Week 47","Red line","Number","535559"
"Passenger Journeys","2022 Week 47","Green line","Number","503755"
"Passenger Journeys","2022 Week 48","Red line","Number","547010"
"Passenger Journeys","2022 Week 48","Green line","Number","491713"
"Passenger Journeys","2022 Week 49","Red line","Number","537455"
"Passenger Journeys","2022 Week 49","Green line","Number","498173"
"Passenger Journeys","2022 Week 50","Red line","Number","526929"
"Passenger Journeys","2022 Week 50","Green line","Number","533275"
"Passenger Journeys","2022 Week 51","Red line","Number","420463"
"Passenger Journeys","2022 Week 51","Green line","Number","411768"
"Passenger Journeys","2022 Week 52","Red line","Number","289972"
"Passenger Journeys","2022 Week 52","Green line","Number","270512"
"Passenger Journeys","2022 Week 53","Red line","Number",""
"Passenger Journeys","2022 Week 53","Green line","Number",""
"Passenger Journeys","2023 Week 01","Red line","Number","371194"
"Passenger Journeys","2023 Week 01","Green line","Number","339997"
"Passenger Journeys","2023 Week 02","Red line","Number","430666"
"Passenger Journeys","2023 Week 02","Green line","Number","397719"
"Passenger Journeys","2023 Week 03","Red line","Number","440142"
"Passenger Journeys","2023 Week 03","Green line","Number","411750"
"Passenger Journeys","2023 Week 04","Red line","Number","486675"
"Passenger Journeys","2023 Week 04","Green line","Number","461916"
"Passenger Journeys","2023 Week 05","Red line","Number","489532"
"Passenger Journeys","2023 Week 05","Green line","Number","463204"
"Passenger Journeys","2023 Week 06","Red line","Number","497428"
"Passenger Journeys","2023 Week 06","Green line","Number","459856"
"Passenger Journeys","2023 Week 07","Red line","Number","500579"
"Passenger Journeys","2023 Week 07","Green line","Number","468348"
"Passenger Journeys","2023 Week 08","Red line","Number","491496"
"Passenger Journeys","2023 Week 08","Green line","Number","457745"
"Passenger Journeys","2023 Week 09","Red line","Number","468498"
"Passenger Journeys","2023 Week 09","Green line","Number","446831"
"Passenger Journeys","2023 Week 10","Red line","Number","479445"
"Passenger Journeys","2023 Week 10","Green line","Number","408261"
"Passenger Journeys","2023 Week 11","Red line","Number","502781"
"Passenger Journeys","2023 Week 11","Green line","Number","431138"
"Passenger Journeys","2023 Week 12","Red line","Number","505332"
